6,CAST,(UTC+06:00) Astana,Central Asia Standard Time,"Antarctica/Vostok,Asia/Almaty,Asia/Bishkek,Asia/Qyzylorda,Asia/Urumqi,Etc/GMT-6,Indian/Chagos"
6,BST,(UTC+06:00) Dhaka,Bangladesh Standard Time,"Asia/Dhaka,Asia/Thimphu"
6,EST,(UTC+06:00) Ekaterinburg,Ekaterinburg Standard Time,Asia/Yekaterinburg
6.5,MST,(UTC+06:30) Yangon (Rangoon),Myanmar Standard Time,"Asia/Rangoon,Indian/Cocos"
7,SAST,"(UTC+07:00) Bangkok, Hanoi, Jakarta",SE Asia Standard Time,"Antarctica/Davis,Asia/Bangkok,Asia/Hovd,Asia/Jakarta,Asia/Phnom_Penh,Asia/Pontianak,Asia/Saigon,Asia/Vientiane,Etc/GMT-7,Indian/Christmas"
7,NCAST,(UTC+07:00) Novosibirsk,N. Central Asia Standard Time,"Asia/Novokuznetsk,Asia/Novosibirsk,Asia/Omsk"
8,CST,"(UTC+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China Standard Time,"Asia/Hong_Kong,Asia/Macau,Asia/Shanghai"
8,NAST,(UTC+08:00) Krasnoyarsk,North Asia Standard Time,Asia/Krasnoyarsk
8,MPST,"(UTC+08:00) Kuala Lumpur, Singapore",Singapore Standard Time,"Asia/Brunei,Asia/Kuala_Lumpur,Asia/Kuching,Asia/Makassar,Asia/Manila,Asia/Singapore,Etc/GMT-8"
8,WAST,(UTC+08:00) Perth,W. Australia Standard Time,"Antarctica/Casey,Australia/Perth"
8,TST,(UTC+08:00) Taipei,Taipei Standard Time,Asia/Taipei
8,UST,(UTC+08:00) Ulaanbaatar,Ulaanbaatar Standard Time,"Asia/Choibalsan,Asia/Ulaanbaatar"
9,NAEST,(UTC+09:00) Irkutsk,North Asia East Standard Time,Asia/Irkutsk
9,TST,"(UTC+09:00) Osaka, Sapporo, Tokyo",Tokyo Standard Time,"Asia/Dili,Asia/Jayapura,Asia/Tokyo,Etc/GMT-9,Pacific/Palau"
9,KST,(UTC+09:00) Seoul,Korea Standard Time,"Asia/Pyongyang,Asia/Seoul"
9.5,CAST,(UTC+09:30) Adelaide,Cen. Australia Standard Time,"Australia/Adelaide,Australia/Broken_Hill"
9.5,ACST,(UTC+09:30) Darwin,AUS Central Standard Time,Australia/Darwin
10,EAST,(UTC+10:00) Brisbane,E. Australia Standard Time,"Australia/Brisbane,Australia/Lindeman"
10,AEST,"(UTC+10:00) Canberra, Melbourne, Sydney",AUS Eastern Standard Time,"Australia/Melbourne,Australia/Sydney"
10,WPST,"(UTC+10:00) Guam, Port Moresby",West Pacific Standard Time,"Antarctica/DumontDUrville,Etc/GMT-10,Pacific/Guam,Pacific/Port_Moresby,Pacific/Saipan,Pacific/Truk"
10,TST,(UTC+10:00) Hobart,Tasmania Standard Time,"Australia/Currie,Australia/Hobart"
10,YST,(UTC+10:00) Yakutsk,Yakutsk Standard Time,"Asia/Chita,Asia/Khandyga,Asia/Yakutsk"
11,CPST,"(UTC+11:00) Solomon Is., New Caledonia",Central Pacific Standard Time,"Antarctica/Macquarie,Etc/GMT-11,Pacific/Efate,Pacific/Guadalcanal,Pacific/Kosrae,Pacific/Noumea,Pacific/Ponape"
11,VST,(UTC+11:00) Vladivostok,Vladivostok Standard Time,"Asia/Sakhalin,Asia/Ust-Nera,Asia/Vladivostok"
12,NZST,"(UTC+12:00) Auckland, Wellington",New Zealand Standard Time,"Antarctica/McMurdo,Pacific/Auckland"
12,U,(UTC+12:00) Coordinated Universal Time+12,UTC+12,"Etc/GMT-12,Pacific/Funafuti,Pacific/Kwajalein,Pacific/Majuro,Pacific/Nauru,Pacific/Tarawa,Pacific/Wake,Pacific/Wallis"
12,FST,(UTC+12:00) Fiji,Fiji Standard Time,Pacific/Fiji
12,MST,(UTC+12:00) Magadan,Magadan Standard Time,"Asia/Anadyr,Asia/Kamchatka,Asia/Magadan,Asia/Srednekolymsk"
13,KDT,(UTC+12:00) Petropavlovsk-Kamchatsky - Old,Kamchatka Standard Time,Asia/Kamchatka
13,TST,(UTC+13:00) Nuku'alofa,Tonga Standard Time,"Etc/GMT-13,Pacific/Enderbury,Pacific/Fakaofo,Pacific/Tongatapu"
13,SST,(UTC+13:00) Samoa,Samoa Standard Time,Pacific/Apia
